Codigo,Vereda,Avaluo,Predial
20093000,2,1166000,5830.0
20093000,2,1166000,5830.0
20093000,2,1166000,5830.0
20094000,2,4476000,22380.0
20094000,2,4476000,22380.0
20094000,2,4476000,22380.0
20094000,2,4476000,22380.0
20095000,2,1934000,9670.0
20096000,2,3992000,19960.0
20096000,2,3992000,19960.0
20096000,2,3992000,19960.0
20097000,2,9688000,48440.0
20098000,2,21071000,105355.0
20099000,2,586000,2930.0
20100000,2,1757000,8785.0
20101000,2,3136000,15680.0
20102000,2,13078000,65390.0
20102000,2,13078000,65390.0
20102000,2,13078000,65390.0
20103000,2,2931000,14655.0
20104000,2,3752000,18760.0
20105000,2,11149000,55745.0
20106000,2,11944000,59720.0
20107000,2,943000,4715.0
20108000,2,754000,3770.0
20109000,2,974000,4870.0
20110000,2,1230000,6150.0
20110000,2,1230000,6150.0
20111000,2,1162000,5810.0
20112000,2,1571000,7855.0
20112000,2,1571000,7855.0
20113000,2,3859000,19295.0
20114000,2,2053000,10265.0
20115000,2,6570000,32850.0
20115000,2,6570000,32850.0
20116000,2,14081000,70405.0
20117000,2,4110000,20550.0
20118000,2,12066000,60330.0
20118000,2,12066000,60330.0
20118000,2,12066000,60330.0
20118000,2,12066000,60330.0
20119000,2,2053000,10265.0
20120000,2,2391000,11955.0
20121000,2,3788000,18940.0
20121000,2,3788000,18940.0
20122000,2,2598000,12990.0
20123000,2,1009000,5045.0
20124000,2,1606000,8030.0
20124000,2,1606000,8030.0
20125000,2,420000,2100.0
20126000,2,2566000,12830.0
20126000,2,2566000,12830.0
20126000,2,2566000,12830.0
20126000,2,2566000,12830.0
20127000,2,549000,2745.0
20128000,2,1887000,9435.0
20128000,2,1887000,9435.0
20129000,2,1050000,5250.0
20130000,2,1427000,7135.0
20130000,2,1427000,7135.0
20131000,2,1427000,7135.0
20131000,2,1427000,7135.0
20132000,2,968000,4840.0
20132000,2,968000,4840.0
20133000,2,1971000,9855.0
20133000,2,1971000,9855.0
20133000,2,1971000,9855.0
20134000,2,1634000,8170.0
20134000,2,1634000,8170.0
20135000,2,2095000,10475.0
20135000,2,2095000,10475.0
20136000,2,1760000,8800.0
20137000,2,2178000,10890.0
20138000,2,2434000,12170.0
20138000,2,2434000,12170.0
20139000,2,1671000,8355.0
20140000,2,549000,2745.0
20140000,2,549000,2745.0
20141000,2,3563000,17815.0
20142000,2,1469000,7345.0
20143000,2,667000,3335.0
20144000,2,754000,3770.0
20145000,2,1676000,8380.0
20146000,2,1213000,6065.0
20146000,2,1213000,6065.0
20147000,2,8383000,41915.0
20148000,2,5448000,27240.0
20149000,2,9641000,48205.0
20149000,2,9641000,48205.0
20149000,2,9641000,48205.0
20149000,2,9641000,48205.0
20149000,2,9641000,48205.0
20150000,2,1128000,5640.0
20151000,2,462000,2310.0
20152000,2,1009000,5045.0
20153000,2,2891000,14455.0
20154000,2,4655000,23275.0
20155000,2,13936000,69680.0
