Codigo,Vereda,Dirección,Avaluo,Predial
10061000,1,EL RECUERDO VDA HUERTA CHICA,6288000,151040000000000000000000000000
10062000,1,TRES ESQUINAS VDA HUERTA CHICA,4610000,151040000000000000000000000000
10063000,1,VERSALLES HUERTA CHICA,19773000,151040000000000000000000000000
10064000,1,AGUA CALIENTE VDA HUERTA CHICA,21712000,151040000000000000000000000000
10064000,1,AGUA CALIENTE VDA HUERTA CHICA,21712000,151040000000000000000000000000
10064000,1,AGUA CALIENTE VDA HUERTA CHICA,21712000,151040000000000000000000000000
10064000,1,AGUA CALIENTE VDA HUERTA CHICA,21712000,151040000000000000000000000000
10064000,1,AGUA CALIENTE VDA HUERTA CHICA,21712000,151040000000000000000000000000
10066000,1,BUENOS AIRES VDA HUERTA CHICA,3480000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10067000,1,EL RECREO VDA HUERTA CHICA,8801000,151040000000000000000000000000
10068000,1,LA PROVIDENCIA VDA HUERTA CHICA,6455000,151040000000000000000000000000
10069000,1,EL ENCANTO VDA HUERTA CHICA,5866000,151040000000000000000000000000
10069000,1,EL ENCANTO VDA HUERTA CHICA,5866000,151040000000000000000000000000
10070000,1,EL REGALO VDA HUERTA CHICA,7038000,151040000000000000000000000000
10071000,1,LA CRUZ VDA HUERTA CHICA,11316000,151040000000000000000000000000
10072000,1,LA PRADERA VDA HUERTA CHICA,8216000,151040000000000000000000000000
10073000,1,SAN ANDRES VDA HUERTA CHICA,12321000,151040000000000000000000000000
10074000,1,EL PANTANO VDA HUERTA CHIQUITA,28248000,151040000000000000000000000000
10075000,1,EL REFUGIO VDA HUERTA CHICA,19047000,151040000000000000000000000000
10076000,1,LOS PINOS VDA HUERTA CHICA,26821000,151040000000000000000000000000
10077000,1,EL EUCALIPTUS Lo 2 VDA HUERTA CHIC,609000,151040000000000000000000000000
10078000,1,LA PALMA Lo 3 VDA HUERTA CHICA,606000,151040000000000000000000000000
10079000,1,XXX VDA HUERTA CHICA,786000,151040000000000000000000000000
20001000,2,EL ALJIBE VDA RIQUE,8011000,151040000000000000000000000000
20002000,2,EL HUERTO VDA RIQUE,15615000,151040000000000000000000000000
20003000,2,EL RECUERDO VDA RIQUE,5080000,151040000000000000000000000000
20004000,2,SAN LUIS VDA RIQUE,3700000,151040000000000000000000000000
20005000,2,BUENOS AIRES VDA RIQUE,1676000,151040000000000000000000000000
20006000,2,LA CUCHILLA VDA RIQUE,481000,151040000000000000000000000000
20007000,2,EL CORDONCILLO VDA RIQUE,1328000,151040000000000000000000000000
20008000,2,LAS PUERTAS VDA RIQUE,325000,151040000000000000000000000000
20009000,2,LA PENA VDA RIQUE,7122000,151040000000000000000000000000
20010000,2,LA TRIBUNA VDA RIQUE,17486000,151040000000000000000000000000
20010001,2,MEJORA VDA RIQUE,332000,151040000000000000000000000000
20011000,2,EL PENON VDA RIQUE,11582000,151040000000000000000000000000
20012000,2,SAN ANTONIO VDA RIQUE,6812000,151040000000000000000000000000
20013000,2,MONSERRATE VDA RIQUE,3775000,151040000000000000000000000000
20014000,2,SAN ANTONIO VDA RIQUE,18243000,151040000000000000000000000000
20015000,2,EL ROSAL VDA RIQUE,15193000,151040000000000000000000000000
20016000,2,LAS GALERIAS VDA RIQUE,4067000,151040000000000000000000000000
20017000,2,LA ESPERANZA VDA RIQUE,2303000,151040000000000000000000000000
20018000,2,EL CARMEN VDA RIQUE,3142000,151040000000000000000000000000
20019000,2,EL CEDRO VDA RIQUE,6642000,151040000000000000000000000000
20019000,2,EL CEDRO VDA RIQUE,6642000,151040000000000000000000000000
20019000,2,EL CEDRO VDA RIQUE,6642000,151040000000000000000000000000
20020000,2,LA ESPERANZA VDA RIQUE,6910000,151040000000000000000000000000
20021000,2,EL RUQUE VDA RIQUE,2053000,151040000000000000000000000000
20022000,2,EL RECUERDO VDA RIQUE,986000,151040000000000000000000000000
20023000,2,EL MANZANO VDA RIQUE,968000,151040000000000000000000000000
20023000,2,EL MANZANO VDA RIQUE,968000,151040000000000000000000000000
20024000,2,EL CONSUELO VDA RIQUE,1089000,151040000000000000000000000000
20025000,2,SAN ANTONIO VDA RIQUE,1261000,151040000000000000000000000000
20026000,2,EL PARAISO VDA RIQUE,7966000,151040000000000000000000000000
20026000,2,EL PARAISO VDA RIQUE,7966000,151040000000000000000000000000
20026000,2,EL PARAISO VDA RIQUE,7966000,151040000000000000000000000000
20026000,2,EL PARAISO VDA RIQUE,7966000,151040000000000000000000000000
20027000,2,EL CEDRO VDA RIQUE,15505000,151040000000000000000000000000
20028000,2,SAN LUIS VDA RIQUE,9696000,151040000000000000000000000000
20029000,2,SUPANECA VDA RIQUE,7174000,151040000000000000000000000000
20030000,2,LA CUCHILLA VDA RIQUE,8916000,151040000000000000000000000000
20031000,2,EL PORVENIR VDA RIQUE,420000,151040000000000000000000000000
20032000,2,LA PRADERA VDA RIQUE,13411000,151040000000000000000000000000
20032000,2,LA PRADERA VDA RIQUE,13411000,151040000000000000000000000000
20032000,2,LA PRADERA VDA RIQUE,13411000,151040000000000000000000000000
20032000,2,LA PRADERA VDA RIQUE,13411000,151040000000000000000000000000
20032001,2,MEJORA VDA RIQUE,1785000,151040000000000000000000000000
20032001,2,MEJORA VDA RIQUE,1785000,151040000000000000000000000000
20033000,2,EL DURAZANO VDA RIQUE,378000,151040000000000000000000000000
20034000,2,LOTE DE TERRENO VDA RIQUE,2175000,151040000000000000000000000000
20034000,2,LOTE DE TERRENO VDA RIQUE,2175000,151040000000000000000000000000
20035000,2,BUENAVISTA VDA RIQUE,3184000,151040000000000000000000000000
20036000,2,LAS MANITAS VDA RIQUE,713000,151040000000000000000000000000
20036000,2,LAS MANITAS VDA RIQUE,713000,151040000000000000000000000000
20038000,2,BUENAVISTA VDA RIQUE,3353000,151040000000000000000000000000
20039000,2,LA PLAYA VDA RIQUE,1757000,151040000000000000000000000000
20040000,2,EL RECUERDO VDA RIQUE,3270000,151040000000000000000000000000
20041000,2,SAN ANDRES VDA RIQUE,1963000,151040000000000000000000000000
20042000,2,EL JACALITO VDA RIQUE,1677000,151040000000000000000000000000
20043000,2,SAN ANTONIO O GLOBO DE TIERRA VDA,20638000,151040000000000000000000000000
20043000,2,SAN ANTONIO O GLOBO DE TIERRA VDA,20638000,151040000000000000000000000000
20044000,2,SAN JOAQUIN VDA RIQUE,5308000,151040000000000000000000000000
20044000,2,SAN JOAQUIN VDA RIQUE,5308000,151040000000000000000000000000
20045000,2,EL LARGUERO VDA RIQUE,1634000,151040000000000000000000000000
20046000,2,MENOS ACUERDE VDA RIQUE,1261000,151040000000000000000000000000
20047000,2,XXX VDA RIQUE,1761000,151040000000000000000000000000
20047000,2,XXX VDA RIQUE,1761000,151040000000000000000000000000
20047000,2,XXX VDA RIQUE,1761000,151040000000000000000000000000
20047000,2,XXX VDA RIQUE,1761000,151040000000000000000000000000
20048000,2,EL RECUERDO VDA RIQUE,4738000,151040000000000000000000000000
20048000,2,EL RECUERDO VDA RIQUE,4738000,151040000000000000000000000000
20049000,2,BUENAVISTA VDA RIQUE,2223000,151040000000000000000000000000
20050000,2,LA MESETA VDA RIQUE,4610000,151040000000000000000000000000
20050000,2,LA MESETA VDA RIQUE,4610000,151040000000000000000000000000
20050000,2,LA MESETA VDA RIQUE,4610000,151040000000000000000000000000
20050000,2,LA MESETA VDA RIQUE,4610000,151040000000000000000000000000
20050000,2,LA MESETA VDA RIQUE,4610000,151040000000000000000000000000
20050000,2,LA MESETA VDA RIQUE,4610000,151040000000000000000000000000
20051000,2,BUENAVISTA VDA RIQUE,1260000,151040000000000000000000000000
20051000,2,BUENAVISTA VDA RIQUE,1260000,151040000000000000000000000000
20051000,2,BUENAVISTA VDA RIQUE,1260000,151040000000000000000000000000
20051000,2,BUENAVISTA VDA RIQUE,1260000,151040000000000000000000000000
20051000,2,BUENAVISTA VDA RIQUE,1260000,151040000000000000000000000000
20051000,2,BUENAVISTA VDA RIQUE,1260000,151040000000000000000000000000
20051000,2,BUENAVISTA VDA RIQUE,1260000,151040000000000000000000000000
20052000,2,EL DURAZNAL VDA RIQUE,2598000,151040000000000000000000000000
20053000,2,LA ESPERANZA VDA RIQUE,1009000,151040000000000000000000000000
20054000,2,LOTE DE TERRENO VDA RIQUE,1522000,151040000000000000000000000000
20054000,2,LOTE DE TERRENO VDA RIQUE,1522000,151040000000000000000000000000
20055000,2,EL CURUBO VDA RIQUE,2962000,151040000000000000000000000000
20055000,2,EL CURUBO VDA RIQUE,2962000,151040000000000000000000000000
20055000,2,EL CURUBO VDA RIQUE,2962000,151040000000000000000000000000
20056000,2,EL DURAZNO VDA RIQUE,4675000,151040000000000000000000000000
20057000,2,LOS CEREZOS VDA RIQUE,2850000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20058000,2,EL CAJON VDA RIQUE,2246000,151040000000000000000000000000
20059000,2,LA CAPILLA VDA RIQUE,8248000,151040000000000000000000000000
20060000,2,EL MUEYE VDA RIQUE,4707000,151040000000000000000000000000
20061000,2,LAS FALDAS VDA RIQUE,7122000,151040000000000000000000000000
20061000,2,LAS FALDAS VDA RIQUE,7122000,151040000000000000000000000000
20061000,2,LAS FALDAS VDA RIQUE,7122000,151040000000000000000000000000
20061000,2,LAS FALDAS VDA RIQUE,7122000,151040000000000000000000000000
20061000,2,LAS FALDAS VDA RIQUE,7122000,151040000000000000000000000000
20062000,2,EL FICAL VDA RIQUE,3228000,151040000000000000000000000000
20063000,2,CHINAVITA VDA RIQUE,1473000,151040000000000000000000000000
20064000,2,EL DURAZNAL VDA RIQUE,1582000,151040000000000000000000000000
20065000,2,EL DURAZNAL VDA RIQUE,838000,151040000000000000000000000000
20066000,2,SAN FELIPE VDA RIQUE,1522000,151040000000000000000000000000
20067000,2,LA VEGUITA VDA RIQUE,1386000,151040000000000000000000000000
20067000,2,LA VEGUITA VDA RIQUE,1386000,151040000000000000000000000000
20068000,2,EL RECUERDO VDA RIQUE,1676000,151040000000000000000000000000
20069000,2,BUENAVISTA VDA RIQUE,879000,151040000000000000000000000000
20070000,2,BUENAVISTA VDA RIQUE,6537000,151040000000000000000000000000
20071000,2,EL SECRETO VDA RIQUE,4110000,151040000000000000000000000000
20072000,2,EL PEDREGAL VDA RIQUE,3524000,151040000000000000000000000000
20073000,2,LA ESPERANZA VDA RIQUE,13188000,151040000000000000000000000000
20073000,2,LA ESPERANZA VDA RIQUE,13188000,151040000000000000000000000000
20074000,2,LOTE DE TERRENO VDA RIQUE,3050000,151040000000000000000000000000
20074000,2,LOTE DE TERRENO VDA RIQUE,3050000,151040000000000000000000000000
20074001,2,MEJORA VDA RIQUE,241000,151040000000000000000000000000
20075000,2,BUENOS AIRES VDA RIQUE,4110000,151040000000000000000000000000
20075000,2,BUENOS AIRES VDA RIQUE,4110000,151040000000000000000000000000
20076000,2,LA ZANJITA VDA RIQUE,2701000,151040000000000000000000000000
20077000,2,LOS DURAZANOS VDA RIQUE,5215000,151040000000000000000000000000
20079000,2,TERRENO VDA RIQUE,8214000,151040000000000000000000000000
20080000,2,LA VEGUITA VDA RIQUE,1879000,151040000000000000000000000000
20081000,2,LA VEGA VDA RIQUE,13497000,151040000000000000000000000000
20082000,2,BUENAVISTA VDA RIQUE,2875000,151040000000000000000000000000
20083000,2,EL MANZANO VDA RIQUE,3345000,151040000000000000000000000000
20083000,2,EL MANZANO VDA RIQUE,3345000,151040000000000000000000000000
20083000,2,EL MANZANO VDA RIQUE,3345000,151040000000000000000000000000
20083000,2,EL MANZANO VDA RIQUE,3345000,151040000000000000000000000000
20083000,2,EL MANZANO VDA RIQUE,3345000,151040000000000000000000000000
20084000,2,PALO BLANCO VDA RIQUE,748000,151040000000000000000000000000
20085000,2,EL PEDREGAL VDA RIQUE,1522000,151040000000000000000000000000
20086000,2,EL PACER VDA RIQUE,2407000,151040000000000000000000000000
20087000,2,EL DURAZNO VDA RIQUE,2108000,151040000000000000000000000000
20088000,2,EL RECREO VDA RIQUE,2468000,151040000000000000000000000000
20089000,2,LOS CAMARONES VDA RIQUE,1879000,151040000000000000000000000000
20090000,2,ESCUELA RURAL VDA RIQUE,13251000,151040000000000000000000000000
20091000,2,LA VEGA VDA RIQUE,11156000,151040000000000000000000000000
20091000,2,LA VEGA VDA RIQUE,11156000,151040000000000000000000000000
20091000,2,LA VEGA VDA RIQUE,11156000,151040000000000000000000000000
20091000,2,LA VEGA VDA RIQUE,11156000,151040000000000000000000000000
20091000,2,LA VEGA VDA RIQUE,11156000,151040000000000000000000000000
20091000,2,LA VEGA VDA RIQUE,11156000,151040000000000000000000000000
20091001,2,MEJORA VDA RIQUE,2682000,151040000000000000000000000000
20092000,2,TERRENO VDA RIQUE,822000,151040000000000000000000000000
20092000,2,TERRENO VDA RIQUE,822000,151040000000000000000000000000
20092000,2,TERRENO VDA RIQUE,822000,151040000000000000000000000000
20092000,2,TERRENO VDA RIQUE,822000,151040000000000000000000000000
20093000,2,EL RECUERDO VDA RIQUE,1166000,151040000000000000000000000000
20093000,2,EL RECUERDO VDA RIQUE,1166000,151040000000000000000000000000
20093000,2,EL RECUERDO VDA RIQUE,1166000,151040000000000000000000000000
20094000,2,MANZANARES VDA RIQUE,4476000,151040000000000000000000000000
20094000,2,MANZANARES VDA RIQUE,4476000,151040000000000000000000000000
20094000,2,MANZANARES VDA RIQUE,4476000,151040000000000000000000000000
20094000,2,MANZANARES VDA RIQUE,4476000,151040000000000000000000000000
20095000,2,EL GUAMO VDA RIQUE,1934000,151040000000000000000000000000
20096000,2,SANTANA VDA RIQUE,3992000,151040000000000000000000000000
